Year,Constant Prices
2025-26   ,7.410580073
2024-25   ,6.494765524
2023-24   ,9.19075493
2022-23   ,7.609364978
2021-22   ,9.689592492
2020-21   ,-5.777726162
2019-20   ,3.871438072
2018-19   ,6.453853002
2017-18   ,6.79538418
2016-17   ,8.256303538
2015-16   ,7.996253786
2014-15   ,7.410227013
2013-14   ,6.386108216
2012-13   ,5.456387536
2011-12   ,5.241315001
2010-11   ,8.497584702
2009-10   ,7.861888833
2008-09   ,3.08669806
2007-08   ,7.660815065
2006-07   ,8.060732573
2005-06   ,7.923430621
2004-05   ,7.922936613
2003-04   ,7.860381475
2002-03   ,3.803975321
2001-02   ,4.823966264
2000-01   ,3.840991157
1999-00   ,8.845755561
1998-99   ,6.184415821
1997-98   ,4.049820849
1996-97   ,7.549522249
1995-96   ,7.57449184
1994-95   ,6.658924067
1993-94   ,4.75077622
1992-93   ,5.482396022
1991-92   ,1.056831433
1990-91   ,5.533454563
1989-90   ,5.947343328
1988-89   ,9.62778292
1987-88   ,3.965355634
1986-87   ,4.776564171
1985-86   ,5.254299223
1984-85   ,3.820737856
1983-84   ,7.288892901
1982-83   ,3.47573324
1981-82   ,6.006203624
1980-81   ,6.735821528
1979-80   ,-5.238182703