Item/ Year,Quarter,9. Gross Domestic Product
2012-13   ,Q1,4.867679535
2012-13   ,Q2,7.493168845
2012-13   ,Q3,5.376391669
2012-13   ,Q4,4.296010406
2013-14   ,Q1,6.447098628
2013-14   ,Q2,7.337748749
2013-14   ,Q3,6.534982613
2013-14   ,Q4,5.342980138
2014-15   ,Q1,8.023963019
2014-15   ,Q2,8.70410917
2014-15   ,Q3,5.922736184
2014-15   ,Q4,7.112079905
2015-16   ,Q1,7.592561095
2015-16   ,Q2,8.033802022
2015-16   ,Q3,7.197417601
2015-16   ,Q4,9.088685813
2016-17   ,Q1,8.679785952
2016-17   ,Q2,9.669812594
2016-17   ,Q3,8.575508671
2016-17   ,Q4,6.28932466
2017-18   ,Q1,6.112753448
2017-18   ,Q2,5.317939559
2017-18   ,Q3,6.668677787
2017-18   ,Q4,8.932909215
2018-19   ,Q1,7.499660631
2018-19   ,Q2,6.457181176
2018-19   ,Q3,6.233478045
2018-19   ,Q4,5.720942784
2019-20   ,Q1,5.095368273
2019-20   ,Q2,4.298371249
2019-20   ,Q3,3.255643068
2019-20   ,Q4,2.944913061
2020-21   ,Q1,-23.13412885
2020-21   ,Q2,-5.839217619
2020-21   ,Q3,1.775082226
2020-21   ,Q4,3.289792797
2021-22   ,Q1,22.63377259
2021-22   ,Q2,9.865857685
2021-22   ,Q3,5.529074978
2021-22   ,Q4,4.452845566
2022-23   ,Q1,13.49075958
2022-23   ,Q2,5.958237526
2022-23   ,Q3,4.844051198
2022-23   ,Q4,6.89695397
2023-24   ,Q1,9.659944251
2023-24   ,Q2,9.342884696
2023-24   ,Q3,9.514554744
2023-24   ,Q4,8.354640581
2024-25   ,Q1,6.511799767
2024-25   ,Q2,5.612025035
2024-25   ,Q3,6.366485562
2024-25   ,Q4,7.384530362
2025-26   ,Q1,7.811473796
2025-26   ,Q2,8.228474104