Date,6.3   Wholesale Price Index
,
2025,
30/11/25 0:00,-0.319693
31/10/25 0:00,-1.021059349
30/09/25 0:00,0.193923723
31/08/25 0:00,0.518135
31/07/25 0:00,-0.579524
30/06/25 0:00,-0.194805194
31/05/25 0:00,0.130293159
30/04/25 0:00,0.850228908
31/03/25 0:00,2.245706737
28/02/25 0:00,2.447089947
31/01/25 0:00,2.513227513
2024,
31/12/24 0:00,2.56916996
30/11/24 0:00,2.155453952
31/10/24 0:00,2.754098361
30/09/24 0:00,1.910408432
31/08/24 0:00,1.245901639
31/07/24 0:00,2.103879027
30/06/24 0:00,3.425117529
31/05/24 0:00,2.744310576
30/04/24 0:00,1.191264064
31/03/24 0:00,0.264900662
29/02/24 0:00,0.198807157
31/01/24 0:00,0.331785003
2023,
31/12/23 0:00,0.863787375
30/11/23 0:00,0.393442623
31/10/23 0:00,-0.261608895
30/09/23 0:00,-0.065832785
31/08/23 0:00,-0.522193
31/07/23 0:00,-1.233766234
30/06/23 0:00,-4.182754183
31/05/23 0:00,-3.6
30/04/23 0:00,-0.787918582
31/03/23 0:00,1.410342512
28/02/23 0:00,3.854
31/01/23 0:00,4.798331015
2022,
31/12/22 0:00,5.024424285
30/11/22 0:00,6.1
31/10/22 0:00,8.7
30/09/22 0:00,10.55312955
31/08/22 0:00,12.5
31/07/22 0:00,14.1
30/06/22 0:00,16.2
31/05/22 0:00,16.62904439
30/04/22 0:00,15.4
31/03/22 0:00,14.6
28/02/22 0:00,13.4
31/01/22 0:00,13.7
2021,
31/12/21 0:00,14.3
30/11/21 0:00,14.9
31/10/21 0:00,13.8
30/09/21 0:00,11.8
31/08/21 0:00,11.6
31/07/21 0:00,11.6
30/06/21 0:00,12.070411
31/05/21 0:00,13.1
30/04/21 0:00,10.7
31/03/21 0:00,7.92027
28/02/21 0:00,4.8
31/01/21 0:00,2.5
2020,
31/12/20 0:00,2
30/11/20 0:00,2.3
31/10/20 0:00,1.3
30/09/20 0:00,1.319044
31/08/20 0:00,0.364609
31/07/20 0:00,-0.2
30/06/20 0:00,-1.8107
31/05/20 0:00,-3.4
30/04/20 0:00,-1.6
31/03/20 0:00,0.4
29/02/20 0:00,2.259414
31/01/20 0:00,3.5
2019,
31/12/19 0:00,2.8
30/11/19 0:00,0.575658
31/10/19 0:00,..
30/09/19 0:00,0.330852
31/08/19 0:00,1.165695
31/07/19 0:00,1.16764
30/06/19 0:00,2.015113
31/05/19 0:00,2.789518
30/04/19 0:00,3.239557
31/03/19 0:00,3.095443
28/02/19 0:00,2.92851
31/01/19 0:00,2.758621
2018,
31/12/18 0:00,3.457217
30/11/18 0:00,4.467354
31/10/18 0:00,5.536332
30/09/18 0:00,5.221932
31/08/18 0:00,4.616725
31/07/18 0:00,5.267779
30/06/18 0:00,5.678793
31/05/18 0:00,4.782994
30/04/18 0:00,3.621908
31/03/18 0:00,2.738516
28/02/18 0:00,2.743363
31/01/18 0:00,3.019538
2017,
31/12/17 0:00,3.581021
30/11/17 0:00,4.021448
31/10/17 0:00,3.67713
30/09/17 0:00,3.141831
31/08/17 0:00,3.23741
31/07/17 0:00,1.878354
30/06/17 0:00,0.895255
31/05/17 0:00,2.264493
30/04/17 0:00,3.853211
31/03/17 0:00,5.106778
28/02/17 0:00,5.50887
31/01/17 0:00,4.259259
2016,
31/12/16 0:00,2.102377
30/11/16 0:00,1.819836
31/10/16 0:00,1.271571
30/09/16 0:00,1.364877
31/08/16 0:00,1.090909
31/07/16 0:00,0.630063
30/06/16 0:00,-0.089445
31/05/16 0:00,-0.897666
30/04/16 0:00,-1.1
31/03/16 0:00,-2
29/02/16 0:00,-0.854214
31/01/16 0:00,-1.07163