Date,Open
01/02/26,"25,333.75"
01/01/26,"26,173.30"
01/12/25,"26,325.80"
01/11/25,"25,696.85"
01/10/25,"24,620.55"
01/09/25,"24,432.70"
01/08/25,"24,734.90"
01/07/25,"25,551.35"
01/06/25,"24,669.70"
01/05/25,"24,311.90"
01/04/25,"23,341.10"
01/03/25,"22,194.55"
01/02/25,"23,528.60"
01/01/25,"23,637.65"
01/12/24,"24,140.85"
01/11/24,"24,302.75"
01/10/24,"25,788.45"
01/09/24,"25,333.60"
01/08/24,"25,030.95"
01/07/24,"23,992.95"
01/06/24,"23,337.90"
01/05/24,"22,567.85"
01/04/24,"22,455.00"
01/03/24,"22,048.30"
01/02/24,"21,780.65"
01/01/24,"21,727.75"
01/12/23,"20,194.10"
01/11/23,"19,064.05"
01/10/23,"19,622.40"
01/09/23,"19,258.15"
01/08/23,"19,784.00"
01/07/23,"19,246.50"
01/06/23,"18,579.40"
01/05/23,"18,124.80"
01/04/23,"17,427.95"
01/03/23,"17,360.10"
01/02/23,"17,811.60"
01/01/23,"18,131.70"
01/12/22,"18,871.95"
01/11/22,"18,130.70"
01/10/22,"17,102.10"
01/09/22,"17,485.70"
01/08/22,"17,243.20"
01/07/22,"15,703.70"
01/06/22,"16,594.40"
01/05/22,"16,924.45"
01/04/22,"17,436.90"
01/03/22,"16,593.10"
01/02/22,"17,529.45"
01/01/22,"17,387.15"
01/12/21,"17,104.40"
01/11/21,"17,783.15"
01/10/21,"17,531.90"
01/09/21,"17,185.60"
01/08/21,"15,874.90"
01/07/21,"15,755.05"
01/06/21,"15,629.65"
01/05/21,"14,481.05"
01/04/21,"14,798.40"
01/03/21,"14,702.50"
01/02/21,"13,758.60"
01/01/21,"13,996.10"
01/12/20,"13,062.20"
01/11/20,"11,697.35"
01/10/20,"11,364.45"
01/09/20,"11,464.30"
01/08/20,"11,057.55"
01/07/20,"10,323.80"
01/06/20,"9,726.85"
01/05/20,"9,533.50"
01/04/20,"8,584.10"
01/03/20,"11,387.35"
01/02/20,"11,939.00"
01/01/20,"12,202.15"
01/12/19,"12,137.05"
01/11/19,"11,886.60"
01/10/19,"11,515.40"
01/09/19,"10,960.95"
01/08/19,"11,060.20"
01/07/19,"11,839.90"
01/06/19,"11,953.75"
01/05/19,"11,725.55"
01/04/19,"11,665.20"
01/03/19,"10,842.65"
01/02/19,"10,851.35"
01/01/19,"10,881.70"
01/12/18,"10,930.70"
01/11/18,"10,441.70"
01/10/18,"10,930.90"
01/09/18,"11,751.80"
01/08/18,"11,359.80"
01/07/18,"10,732.35"
01/06/18,"10,738.45"
01/05/18,"10,783.85"
01/04/18,"10,151.65"
01/03/18,"10,479.95"
01/02/18,"11,044.55"
01/01/18,"10,531.70"
01/12/17,"10,263.70"
01/11/17,"10,390.35"
01/10/17,"9,893.30"
01/09/17,"9,937.65"
01/08/17,"10,101.05"
01/07/17,"9,587.95"
01/06/17,"9,603.55"
01/05/17,"9,339.85"
01/04/17,"9,220.60"
01/03/17,"8,904.40"
01/02/17,"8,570.35"
01/01/17,"8,210.10"
01/12/16,"8,244.00"
01/11/16,"8,653.15"
01/10/16,"8,666.15"
01/09/16,"8,793.60"
01/08/16,"8,654.30"
01/07/16,"8,313.05"
01/06/16,"8,179.20"
01/05/16,"7,822.70"
01/04/16,"7,718.05"
01/03/16,"7,038.25"
01/02/16,"7,589.50"
01/01/16,"7,938.45"
01/12/15,"7,958.15"
01/11/15,"8,054.55"
01/10/15,"7,992.05"
01/09/15,"7,907.95"
01/08/15,"8,510.65"
01/07/15,"8,376.25"
01/06/15,"8,417.25"
01/05/15,"8,230.05"
01/04/15,"8,483.70"
01/03/15,"8,953.85"
01/02/15,"8,802.50"
01/01/15,"8,272.80"
01/12/14,"8,605.10"
01/11/14,"8,348.15"
01/10/14,"7,960.50"
01/09/14,"7,990.35"
01/08/14,"7,662.50"
01/07/14,"7,629.00"
01/06/14,"7,264.05"
01/05/14,"6,709.95"
01/04/14,"6,729.50"
01/03/14,"6,264.35"
01/02/14,"6,058.80"
01/01/14,"6,323.80"
01/12/13,"6,171.15"
01/11/13,"6,289.75"
01/10/13,"5,756.10"
01/09/13,"5,480.25"
01/08/13,"5,776.90"
01/07/13,"5,834.10"
01/06/13,"5,997.35"
01/05/13,"5,911.40"
01/04/13,"5,697.35"
01/03/13,"5,702.45"
01/02/13,"6,040.95"
01/01/13,"5,937.65"
01/12/12,"5,878.25"
01/11/12,"5,609.85"
01/10/12,"5,704.75"
01/09/12,"5,276.50"
01/08/12,"5,220.70"
01/07/12,"5,283.85"
01/06/12,"4,910.85"
01/05/12,"5,254.30"
01/04/12,"5,296.35"